_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt
917138494,3/25/2016 17:20:02,1936004434,3/25/2016 17:12:13,false,bitcoinget,1.0,36685238,USA,CO,Denver,63.225.107.244,"{""text"":""Sorry, i cannot find a route leaving from Essex Street."",""result"":""yes""}","Sorry, i cannot find a route leaving from Essex Street.",,"inform(from_stop=""*STREET"")",i would like to search for a route leaving from *STOP to ,"*=notfound, from_stop=Essex Street",apologize,i would like to search for a route leaving from Essex Street to 
917138495,3/25/2016 17:37:22,1936026688,3/25/2016 17:35:56,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for a 10:00am alternative."",""result"":""yes""}",I'll check for a 10:00am alternative.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",can i get an alternative at *NUMBER in the *AMPM,"departure_time=10:00, ampm=am",confirm,can i get an alternative at ten in the morning
917138496,3/25/2016 16:43:43,1935954030,3/25/2016 16:42:24,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found at 7:00 pm evening"",""result"":""yes""}",not found at 7:00 pm evening,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",yes i would like to leave later at *NUMBER *AMPM,"*=notfound, departure_time=7:00, ampm=pm",apologize,yes i would like to leave later at seven pm
917138497,3/25/2016 17:53:35,1936046569,3/25/2016 17:51:47,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for a 8:00pm route."",""result"":""yes""}",I'll check for a 8:00pm route.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",i'd like to leave at *NUMBER *AMPM,"departure_time=8:00, ampm=pm",confirm,i'd like to leave at eight pm
917138498,3/25/2016 17:59:48,1936055536,3/25/2016 17:55:38,false,prodege,1.0,10959404,USA,CA,North Hollywood,108.217.110.104,"{""text"":""You will need 41 minutes for your subway connection."",""result"":""yes""}",You will need 41 minutes for your subway connection.,,"inform(vehicle=""*VEHICLE"")&request(duration)",time requirement for a *VEHICLE connection,confirm: vehicle=subway; reply: duration=41 minutes,confirm-reply,time requirement for a subway connection
917138499,3/25/2016 16:39:11,1935947148,3/25/2016 16:37:33,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.126.247,"{""text"":""not found from cathedral parkway"",""result"":""yes""}",not found from cathedral parkway,,"inform(from_stop=""*STREET"")",i would like to go from *STOP,"*=notfound, from_stop=Cathedral Parkway",apologize,i would like to go from Cathedral Parkway
917138500,3/25/2016 17:37:22,1936026685,3/25/2016 17:35:56,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I'll check for 10:00pm destination."",""result"":""yes""}",I'll check for 10:00pm destination.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",same destination in the *AMPM at *NUMBER,"departure_time=10:00, ampm=pm",confirm,same destination in the evening at ten
917138501,3/25/2016 17:14:22,1935996773,3/25/2016 16:48:20,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""Where are you going and where will you be leaving from this afternoon?"",""result"":""yes""}",Where are you going and where will you be leaving from this afternoon?,,"inform(ampm=""*AMPM"")",no is there an option at *NUMBER *AMPM,"confirm: ampm=pm; request: from_stop=?, to_stop=?",confirm-request,no is there an option at *NUMBER pm
917138502,3/25/2016 17:53:35,1936046572,3/25/2016 17:51:47,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a bus connection from Houston Street."",""result"":""yes""}",I did not find a bus connection from Houston Street.,,"inform(from_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")",i want to find a *VEHICLE connection from *STOP from,"*=notfound, from_stop=Houston Street, vehicle=bus",apologize,i want to find a bus connection from Houston Street from
917138503,3/25/2016 17:18:26,1936002151,3/25/2016 17:14:23,false,clixsense,1.0,31738779,CAN,ON,Toronto,45.72.149.165,"{""text"":""I did not find a bus route."",""result"":""yes""}",I did not find a bus route.,,"inform(vehicle=""*VEHICLE"")",i rather take the *VEHICLE,"*=notfound, vehicle=bus",apologize,i rather take the bus
