type	abstr_utt	abstr_da	utt	da
reply	ask about the time requirement	request(duration)	ask about the time requirement	duration=43 minutes
reply	what about the time requirements	request(duration)	what about the time requirements	duration=62 minutes
reply	what about time requirements to find out the next connection	"request(duration)&inform(alternative=""next"")"	what about time requirements to find out the next connection	duration=72 minutes
confirm-reply	what about time requirements to find out the next connection	"request(duration)&inform(alternative=""next"")"	what about time requirements to find out the next connection	confirm: alternative=next; reply: duration=72 minutes
confirm	what about time requirements to find out the next connection	"request(duration)&inform(alternative=""next"")"	what about time requirements to find out the next connection	alternative=next
reply	i also want to know about time requirements	request(duration)	i also want to know about time requirements	duration=52 minutes
reply	ok and how many transfers will i need	request(num_transfers)	ok and how many transfers will i need	num_transfers=0
reply	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	direction=Franklin Street, from_stop=Lincoln Center, vehicle=subway, departure_time=10:01am, line=4
apologize	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	*=notfound, departure_time_rel=0:30
request	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	from_stop=?, to_stop=?
confirm-request	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	departure_time_rel=0:30
reply	what are the number of transfers	request(num_transfers)	what are the number of transfers	num_transfers=2
reply	what are the time requirements	request(duration)	what are the time requirements	duration=25 minutes
reply	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Herald Square to ro	vehicle=bus, line=M11, departure_time=1:06pm, from_stop=Herald Square, direction=Port Authority Bus Terminal
apologize	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Rockefeller Center to ro	*=notfound, from_stop=Rockefeller Center
request	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Essex Street to ro	to_stop=?
confirm-request	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Marble Hill to ro	confirm: from_stop=Marble Hill; request: to_stop=?
confirm	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Marble Hill to ro	from_stop=Marble Hill
reply	yes can you tell me the distance of the trip	request(distance)	yes can you tell me the distance of the trip	distance=7.6 miles
reply	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at three pm	vehicle=subway, departure_time=3:19pm, from_stop=Times Square, line=G, direction=City Hall
apologize	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at ten pm	*=notfound, departure_time=10:00, ampm=pm
request	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at ten am	from_stop=?, to_stop=?
confirm-request	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at ten pm	confirm: departure_time=10:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at ten pm	departure_time=10:00, ampm=pm
reply	last connection	"inform(alternative=""last"")"	last connection	direction=Bleecker Street, from_stop=Union Square, departure_time=12:14pm, vehicle=bus, line=M42
apologize	last connection	"inform(alternative=""last"")"	last connection	*=notfound, alternative=last
confirm	last connection	"inform(alternative=""last"")"	last connection	alternative=last
reply	lost connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	lost connection from Prince Street to Penn Station	departure_time=4:07pm, direction=Penn Station, line=4, from_stop=Prince Street, vehicle=subway
apologize	lost connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	lost connection from Herald Square to Astor Place	*=notfound, from_stop=Herald Square, to_stop=Astor Place
confirm	lost connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	lost connection from Inwood to Delancey Street	from_stop=Inwood, to_stop=Delancey Street
reply	next connection	"inform(alternative=""next"")"	next connection	direction=Penn Station, line=D, from_stop=Columbia University, vehicle=subway, departure_time=6:17pm
apologize	next connection	"inform(alternative=""next"")"	next connection	*=notfound, alternative=next
confirm	next connection	"inform(alternative=""next"")"	next connection	alternative=next
reply	*VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	bus connection from Essex Street to Fulton Street	vehicle=bus, direction=Fulton Street, departure_time=11:05am, from_stop=Essex Street, line=M22
apologize	*VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	bus connection from Bowery to Astor Place	*=notfound, from_stop=Bowery, to_stop=Astor Place, vehicle=bus
confirm	*VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	bus connection from Inwood to Bowery	from_stop=Inwood, to_stop=Bowery, vehicle=bus
reply	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	bus connection	vehicle=bus, departure_time=11:09am, from_stop=Columbus Circle, direction=Fulton Street, line=M102
apologize	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	subway connection	*=notfound, vehicle=subway
request	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	subway connection	from_stop=?, to_stop=?
confirm-request	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	subway connection	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	subway connection	vehicle=subway
reply	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	direction=Canal Street, vehicle=subway, from_stop=Columbus Circle, departure_time=11:02am, line=1
apologize	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	*=notfound, departure_time_rel=0:30
request	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	from_stop=?, to_stop=?
