type	abstr_utt	abstr_da	utt	da
confirm	lost connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	lost connection from Broad Street to Cortlandt Street	from_stop=Broad Street, to_stop=Cortlandt Street
confirm	and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&request(duration)"	and i would like to know the duration of the trip and find out the connections at seven thirty am	departure_time=7:30, ampm=am
reply	i'm going from *STOP and heading to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")"	i'm going from Columbus Circle and heading to Rockefeller Center	direction=Rockefeller Center, vehicle=subway, line=L, departure_time=2:04pm, from_stop=Columbus Circle
confirm-request	change my destination to *STOP	"inform(to_stop=""*STOP"")"	change my destination to Fulton Street	confirm: to_stop=Fulton Street; request: from_stop=?
request	i need to find out the connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	i need to find out the connection in ten minutes	from_stop=?, to_stop=?
reply	what about from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	what about from Houston Street to Franklin Street	departure_time=8:15am, vehicle=subway, direction=Franklin Street, line=L, from_stop=Houston Street
confirm-request	i need information about a *NUMBER o'clock ride but	"inform(departure_time=""*TIME"")"	i need information about a six o'clock ride but	confirm: departure_time=6:00; request: from_stop=?, to_stop=?
request	*STOP to *NUMBER street	"inform(from_stop=""*STREET"")"	Washington Square to *NUMBER street	to_stop=?
confirm	i want to travel to *STOP	"inform(to_stop=""*STOP"")"	i want to travel to Central Park	to_stop=Central Park
confirm	my destination is *STOP	"inform(to_stop=""*STOP"")"	my destination is Union Square	to_stop=Union Square
reply	when does it leave	"request(departure_time=""*DEPARTURE_TIME"")"	when does it leave	departure_time=7:48pm
confirm-reply	what about time requirements to find out the next connection	"request(duration)&inform(alternative=""next"")"	what about time requirements to find out the next connection	confirm: alternative=next; reply: duration=79 minutes
reply	yes can you tell me the distance of the trip	request(distance)	yes can you tell me the distance of the trip	distance=2.7 miles
request	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	from_stop=?, to_stop=?
reply	i am travelling from *STOP and i want to get to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	i am travelling from Wall Street and i want to get to Washington Square	from_stop=Wall Street, vehicle=bus, direction=Washington Square, line=M4, departure_time=2:17pm
apologize	yes i want to depart from *STOP yes	"confirm(from_stop=""*STREET"")"	yes i want to depart from Penn Station yes	*=notfound, from_stop=Penn Station
reply	how much time is needed for the journey and	request(duration)	how much time is needed for the journey and	duration=55 minutes
apologize	ride on the *VEHICLE from delancey to *STOP	"inform(to_stop=""*STREET"")&inform(vehicle=""*VEHICLE"")"	ride on the bus from delancey to Inwood	*=notfound, to_stop=Inwood, vehicle=bus
apologize	i'm departing from *STOP	"inform(from_stop=""*STREET"")"	i'm departing from Broad Street	*=notfound, from_stop=Broad Street
apologize	is there a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	is there a connection at ten am	*=notfound, departure_time=10:00, ampm=am
request	can i get a *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i get a subway	from_stop=?, to_stop=?
confirm	is there a connection in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	is there a connection in half an hour	departure_time_rel=0:30
apologize	connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	connection by subway	*=notfound, vehicle=subway
confirm-request	i want to go to *STOP hello	"inform(to_stop=""*STREET"")"	i want to go to Cathedral Parkway hello	confirm: to_stop=Cathedral Parkway; request: from_stop=?
