155		null()
1049		silence()
1	find a connection from *STREET in *BOROUGH to *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
1	find a connection	inform(task="find_connection")
1	make a *BOROUGH	inform(borough="*BOROUGH")
1	make a connection	inform(task="find_connection")
1	there a *NUMBER o'clock schedule	inform(departure_time="*DEPARTURE_TIME")&inform(task="find_connection")
1	ask about the time requirement	request(duration)
1	how about *STOP to *STREET	inform(to_street="*STREET")&inform(from_stop="*STOP")
1	information about public	null()
1	what about a connection at *NUMBER *AMPM	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
1	what about a connection by *VEHICLE	inform(vehicle="*VEHICLE")&inform(task="find_connection")
1	what about from *STREET to *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")
1	what about later options	inform(alternative="next")
1	what about	null()
1	what about *NUMBER in the *AMPM	inform(time="*TIME")&inform(ampm="*AMPM")
1	what about *STOP to *STREET	inform(to_street="*STREET")&inform(from_stop="*STOP")
1	what about *STREET	inform(street="*STREET")
1	what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
1	what about the duration of the trip	null()
1	what about the next ride	inform(alternative="next")
1	what about the *NUMBER *AMPM connection	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
1	what about the time requirements	request(duration)
1	what about time requirements to find out the next connection	inform(task="find_connection")&request(duration)&inform(alternative="next")
1	okay 	ack()
2	ok	ack()
2	okay	ack()
1	right	ack()
3	yes 	affirm()
1	sure	affirm()
5	yeah	affirm()
165	yes	affirm()
2	correct	affirm()&ack()
1	that's all	null()
1	that's all thank you good bye	bye()&thankyou()
1	i already told you you fucking moron	null()
1	i also want to know about time requirements	request(duration)
1	an alternative at *NUMBER *AMPM by *VEHICLE	inform(time="*TIME")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")
1	i am at *STOP and i'm going to *STOP	inform(from_stop="*STOP")&inform(to_stop="*STOP")
1	i am def-	null()
1	i am departing from *STREET and want to get to *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(task="find_connection")
1	i am going to *STOP	inform(to_stop="*STOP")
1	i am headed from *STOP to *STREET and i was wondering how long the ride would be	inform(to_street="*STREET")&inform(from_stop="*STOP")&request(distance)
1	i am in *STOP and i want to go to *STREET	inform(to_street="*STREET")&inform(from_stop="*STOP")&inform(task="find_connection")
1	i am leaving from *STREET and heading towards *STREET	inform(from_street="*STREET")&inform(from_street2="*STREET")
3	i am looking for a connection	inform(task="find_connection")
1	i am looking for a connection leaving from dyck-	inform(task="find_connection")
1	i am looking for an itinerary	inform(task="find_connection")
1	i am looking for an itinerary please my departure stop is *STOP and i am heading to *STREET	inform(to_street="*STREET")&inform(stop="*STOP")&inform(task="find_connection")
1	i am looking for a transit schedule from *STREET headed to *STOP	inform(from_street="*STREET")&inform(to_stop="*STOP")&inform(task="find_connection")
1	i am not sure	affirm()&negate()
1	i am starting from *STREET and heading towards *STREET	inform(from_street="*STREET")&inform(from_street2="*STREET")
1	i am still here	null()
1	i am traveling from *STOP to *STREET	inform(to_street="*STREET")&inform(from_stop="*STOP")
1	i am traveling to *STOP	inform(to_stop="*STOP")
1	i am traveling to *STREET	inform(to_street="*STREET")
1	i am travelling from *STOP and my destination is *STOP	inform(from_stop="*STOP")&inform(to_stop="*STOP")
