context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
is there an alternative route at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")","I'm sorry, I cannot find a route at *DEPARTURE_TIME in the *AMPM.",Sorry but I could not find an alternative route at *DEPARTURE_TIME *AMPM.,An alternative at *DEPARTURE_TIME *AMPM is not found I am sorry.,is there an alternative route at eleven am,"inform(departure_time=""*TIME"")&inform(ampm=""am"")","inform_no_match(departure_time=""11:00"")&inform_no_match(ampm=""am"")","I'm sorry, I cannot find a route at 11:00 in the morning.",Sorry but I could not find an alternative route at 11:00 am.,An alternative at 11:00 am is not found I am sorry.
can i go from *STOP to *STOP,1,"inform(to_stop=""*STOP"")&inform(from_stop=""*STOP"")","inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")",At *DEPARTURE_TIME by *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.,Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,From *FROM_STOP *VEHICLE to *DIRECTION in line *LINE at *DEPARTURE_TIME.,can i go from Rockefeller Center to Fulton Street,"inform(to_stop=""*STOP"")&inform(from_stop=""*STOP"")","inform(direction=""Fulton Street"")&inform(from_stop=""Rockefeller Center"")&inform(line=""M11"")&inform(vehicle=""bus"")&inform(departure_time=""11:02am"")",At 11:02am by bus line M11 from Rockefeller Center to Fulton Street.,Take line M11 bus at 11:02am from Rockefeller Center direction Fulton Street.,From Rockefeller Center bus to Fulton Street in line M11 at 11:02am.
i am starting from *STOP and heading towards *STOP,1,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")","Sorry, your trip from *FROM_STOP is not found.",I did not find a route from *FROM_STOP.,Not found from *FROM_STOP.,i am starting from Columbus Circle and heading towards *STOP,"inform(from_stop=""*STOP"")","inform_no_match(from_stop=""Columbus Circle"")","Sorry, your trip from Columbus Circle is not found.",I did not find a route from Columbus Circle.,Not found from Columbus Circle.
my destination is *STOP,2,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")",You want to go to *TO_STOP.,You want to go to *TO_STOP.,"OK, you want to go to *TO_STOP.",my destination is Bryant Park,"inform(to_stop=""*STOP"")","iconfirm(to_stop=""Bryant Park"")",You want to go to Bryant Park.,You want to go to Bryant Park.,"OK, you want to go to Bryant Park."
and i want to go to *STOP,1,"inform(to_stop=""*STOP"")",request(from_stop),From what station?,From where?,Where are you traveling from?,and i want to go to Inwood,"inform(to_stop=""*STOP"")",request(from_stop),From what station?,From where?,Where are you traveling from?
going to *STOP,1,"inform(to_stop=""*STOP"")",request(from_stop),"Yes, but from where to go?",OK sir but from where do you want to go?,Please confirm where you are departing from?,going to Houston Street,"inform(to_stop=""*STOP"")",request(from_stop),"Yes, but from where to go?",OK sir but from where do you want to go?,Please confirm where you are departing from?
i want to change my mind and go to *STOP at *NUMBER o'clock,1,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")","inform_no_match(to_stop=""*TO_STOP"")&inform_no_match(departure_time=""*DEPARTURE_TIME"")",Not found at *DEPARTURE_TIME to *TO_STOP.,"Apologies, a connection to *TO_STOP at *DEPARTURE_TIME is not found.",Sorry sir but I could not find any transport to *TO_STOP at *DEPARTURE_TIME.,i want to change my mind and go to East Broadway at four o'clock,"inform(to_stop=""*STOP"")&inform(departure_time=""*TIME"")","inform_no_match(to_stop=""East Broadway"")&inform_no_match(departure_time=""4:00"")",Not found at 4:00 to East Broadway.,"Apologies, a connection to East Broadway at 4:00 is not found.",Sorry sir but I could not find any transport to East Broadway at 4:00.
no is there an option at *NUMBER *AMPM,1,"inform(ampm=""*AMPM"")","inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")",Take the line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP towards *DIRECTION.,"Yes, *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.",Take the *VEHICLE *LINE at *DEPARTURE_TIME direction *DIRECTION from *FROM_STOP.,no is there an option at *NUMBER pm,"inform(ampm=""*AMPM"")","inform(from_stop=""Delancey Street"")&inform(direction=""Bowery"")&inform(line=""Z"")&inform(vehicle=""subway"")&inform(departure_time=""9:03pm"")",Take the line Z subway at 9:03pm from Delancey Street towards Bowery.,"Yes, subway line Z from Delancey Street to Bowery at 9:03pm.",Take the subway Z at 9:03pm direction Bowery from Delancey Street.
no *NUMBER *AMPM,1,"inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),From where to where?,Where from and where to?,I need you to tell me where you come from and where you are going?,no *NUMBER am,"inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),From where to where?,Where from and where to?,I need you to tell me where you come from and where you are going?
i want to arrive at *STOP,7,"inform(to_stop=""*STOP"")","inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")","Very well sir, you have to take a *VEHICLE at *DEPARTURE_TIME in line *LINE from *FROM_STOP to *DIRECTION.","Taking the line *LINE *VEHICLE from *FROM_STOP to *DIRECTION, you will arrive at *DEPARTURE_TIME.",Take the *VEHICLE at *DEPARTURE_TIME line *LINE from *FROM_STOP to *DIRECTION.,i want to arrive at Grand Central,"inform(to_stop=""*STOP"")","inform(departure_time=""6:07pm"")&inform(from_stop=""Houston Street"")&inform(line=""5"")&inform(direction=""Grand Central"")&inform(vehicle=""subway"")","Very well sir, you have to take a subway at 6:07pm in line 5 from Houston Street to Grand Central.","Taking the line 5 subway from Houston Street to Grand Central, you will arrive at 6:07pm.",Take the subway at 6:07pm line 5 from Houston Street to Grand Central.
