Testing connection to the update server..
i would like to get from the manhattan to the central park	i would like to get from the *BOROUGH to the *STOP	inform(to_stop="Central Park")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
how long does it take	how long does it take	request(duration)	request(duration)
can you give me the second option	can you give me the second option	inform(alternative="2")	inform(alternative="2")
the second option	the second option	inform(alternative="2")	inform(alternative="2")
the second option	the second option	inform(alternative="2")	inform(alternative="2")
find bus connection from sixty eighth street to hunter college	find *VEHICLE connection from *STREET to *CITY college	inform(from_street="68 St")&inform(to_city="Hunter")&inform(vehicle="bus")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_city="*CITY")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
weather forecast and time in lancaster california	weather forecast and time in *CITY *CITY	inform(in_city="Lancaster")&inform(in_state="California")&inform(task="weather")	inform(in_city="*CITY")&inform(in_state="*STATE")&inform(task="weather")
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
i want to find a bus connection from sixty eighth street hunter college to times square forty	i want to find a *VEHICLE connection from *STOP to *STREET *NUMBER	inform(to_street="Times Sq")&inform(from_stop="68 St - Hunter College")&inform(vehicle="bus")&inform(task="find_connection")	inform(to_street="*STREET")&inform(from_stop="*STOP")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
twenty three and the next connection and the forecast in lancaster	*NUMBER and the next connection and the forecast in *CITY	inform(in_city="Lancaster")&inform(task="find_connection")&inform(task="weather")&inform(alternative="next")	inform(in_city="*CITY")&inform(task="find_connection")&inform(task="weather")&inform(alternative="next")
time requirement for a bus connection	time requirement for a *VEHICLE connection	inform(vehicle="bus")&inform(task="find_connection")&request(duration)	inform(vehicle="*VEHICLE")&inform(task="find_connection")&request(duration)
lancaster california	*CITY *CITY	inform(city="Lancaster")&inform(state="California")	inform(city="*CITY")&inform(state="*STATE")
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
thank you goodbye	thank you goodbye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
goodbye	goodbye	bye()	bye()
_noise_	_noise_	null()	null()
goodbye	goodbye	bye()	bye()
goodbye	goodbye	bye()	bye()
goodbye	goodbye	bye()	bye()
_noise_	_noise_	null()	null()
eight hundred forty seven	*NUMBER *CITY *NUMBER	inform(city="Hundred")	inform(city="*CITY")
hi i'm looking for a connection	hi i'm looking for a connection	inform(task="find_connection")&hello()	inform(task="find_connection")&hello()
i want to go from roosevelt avenue and union street	i want to go from *STOP	inform(from_stop="Roosevelt Av /Union St")&inform(task="find_connection")	inform(from_stop="*STOP")&inform(task="find_connection")
from sixty eighth street hunter college to times square forty second street	from *STOP to *STOP	inform(from_stop="68 St - Hunter College")&inform(to_stop="Times Sq - 42 St")	inform(from_stop="*STOP")&inform(to_stop="*STOP")
i would like to go from sixty eighth street	i would like to go from *STREET	inform(from_street="68 St")&inform(task="find_connection")	inform(from_street="*STREET")&inform(task="find_connection")
street	street	null()	null()
times square forty second street	*STOP	inform(stop="Times Sq - 42 St")	inform(stop="*STOP")
