type	abstr_utt	abstr_da	utt	da
reply	ask about the time requirement	request(duration)	ask about the time requirement	duration=43 minutes
reply	what about the *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about the five pm connection	departure_time=5:19pm, from_stop=Houston Street, direction=Union Square, line=C, vehicle=subway
apologize	what about the *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about the eleven am connection	*=notfound, departure_time=11:00, ampm=am
request	what about the *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about the nine pm connection	from_stop=?, to_stop=?
confirm-request	what about the *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about the three pm connection	confirm: departure_time=3:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	what about the *NUMBER *AMPM connection	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about the three pm connection	departure_time=3:00, ampm=pm
reply	what about the time requirements	request(duration)	what about the time requirements	duration=67 minutes
reply	what about time requirements to find out the next connection	"request(duration)&inform(alternative=""next"")"	what about time requirements to find out the next connection	duration=49 minutes
confirm-reply	what about time requirements to find out the next connection	"request(duration)&inform(alternative=""next"")"	what about time requirements to find out the next connection	confirm: alternative=next; reply: duration=49 minutes
confirm	what about time requirements to find out the next connection	"request(duration)&inform(alternative=""next"")"	what about time requirements to find out the next connection	alternative=next
reply	i also want to know about time requirements	request(duration)	i also want to know about time requirements	duration=15 minutes
reply	ok and how many transfers will i need	request(num_transfers)	ok and how many transfers will i need	num_transfers=2
reply	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	vehicle=bus, departure_time=11:02pm, direction=Penn Station, line=M31, from_stop=Chambers Street
apologize	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	*=notfound, departure_time_rel=0:30
request	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	from_stop=?, to_stop=?
confirm-request	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	ok and i need to find out the connection in a *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	ok and i need to find out the connection in a half an hour	departure_time_rel=0:30
reply	what are the number of transfers	request(num_transfers)	what are the number of transfers	num_transfers=0
reply	what are the time requirements	request(duration)	what are the time requirements	duration=17 minutes
reply	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Delancey Street to ro	vehicle=subway, line=J, departure_time=10:08am, direction=Bleecker Street, from_stop=Delancey Street
apologize	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Dyckman Street to ro	*=notfound, from_stop=Dyckman Street
request	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Cathedral Parkway to ro	to_stop=?
confirm-request	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Wall Street to ro	confirm: from_stop=Wall Street; request: to_stop=?
confirm	yes can i have a connection to from *STOP to ro	"inform(from_stop=""*STREET"")"	yes can i have a connection to from Wall Street to ro	from_stop=Wall Street
reply	yes can you tell me the distance of the trip	request(distance)	yes can you tell me the distance of the trip	distance=3.7 miles
reply	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at six pm	departure_time=6:07pm, line=M79, from_stop=Union Square, direction=Inwood, vehicle=bus
apologize	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at seven am	*=notfound, departure_time=7:00, ampm=am
request	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at ten pm	from_stop=?, to_stop=?
confirm-request	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at five pm	confirm: departure_time=5:00, ampm=pm; request: from_stop=?, to_stop=?
confirm	best connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	best connection at five pm	departure_time=5:00, ampm=pm
reply	last connection	"inform(alternative=""last"")"	last connection	departure_time=7:01am, direction=Grand Central, line=D, from_stop=Cathedral Parkway, vehicle=subway
apologize	last connection	"inform(alternative=""last"")"	last connection	*=notfound, alternative=last
confirm	last connection	"inform(alternative=""last"")"	last connection	alternative=last
reply	lost connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	lost connection from Columbia University to Penn Station	from_stop=Columbia University, line=M20, departure_time=8:01pm, vehicle=bus, direction=Penn Station
apologize	lost connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	lost connection from Cortlandt Street to Franklin Street	*=notfound, from_stop=Cortlandt Street, to_stop=Franklin Street
confirm	lost connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	lost connection from Union Square to Franklin Street	from_stop=Union Square, to_stop=Franklin Street
reply	next connection	"inform(alternative=""next"")"	next connection	line=2, vehicle=subway, departure_time=9:13pm, from_stop=Union Square, direction=Essex Street
apologize	next connection	"inform(alternative=""next"")"	next connection	*=notfound, alternative=next
confirm	next connection	"inform(alternative=""next"")"	next connection	alternative=next
reply	*VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	bus connection from World Trade Center to Bryant Park	line=M102, direction=Bryant Park, departure_time=11:06am, from_stop=World Trade Center, vehicle=bus
apologize	*VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	bus connection from Delancey Street to Grand Street	*=notfound, from_stop=Delancey Street, to_stop=Grand Street, vehicle=bus
confirm	*VEHICLE connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")&inform(vehicle=""*VEHICLE"")"	subway connection from Wall Street to Central Park	from_stop=Wall Street, to_stop=Central Park, vehicle=subway
reply	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	subway connection	direction=Bryant Park, from_stop=Canal Street, line=1, vehicle=subway, departure_time=4:13pm
apologize	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	bus connection	*=notfound, vehicle=bus
request	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	subway connection	from_stop=?, to_stop=?
confirm-request	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	subway connection	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	*VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	subway connection	vehicle=subway
reply	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	from_stop=Fulton Street, vehicle=bus, direction=Chambers Street, line=M66, departure_time=7:01am
apologize	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	*=notfound, departure_time_rel=0:30
request	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	from_stop=?, to_stop=?
confirm-request	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?
confirm	what connection will i be in *NUMBER an hour	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	what connection will i be in half an hour	departure_time_rel=0:30
reply	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in fifteen minutes	direction=Grand Street, vehicle=subway, departure_time=8:06pm, line=1, from_stop=Broad Street
apologize	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in fifteen minutes	*=notfound, departure_time_rel=0:15
request	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in thirty minutes	from_stop=?, to_stop=?
confirm-request	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in fifteen minutes	confirm: departure_time_rel=0:15; request: from_stop=?, to_stop=?
confirm	yes connection in *NUMBER minutes	"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")"	yes connection in fifteen minutes	departure_time_rel=0:15
reply	duration distance of trip	request(distance)	duration distance of trip	distance=10.5 miles
reply	the distance of the trip	request(distance)	the distance of the trip	distance=2.3 miles
reply	when does it leave	"request(departure_time=""*DEPARTURE_TIME"")"	when does it leave	departure_time=7:04pm
reply	how far is it	request(distance)	how far is it	distance=11.3 miles
reply	how far is that	request(distance)	how far is that	distance=9.8 miles
reply	how far is the trip	request(distance)	how far is the trip	distance=3.7 miles
reply	how far what is the distance of this trip	request(distance)	how far what is the distance of this trip	distance=11.2 miles
reply	how far will i be travelling	request(distance)	how far will i be travelling	distance=0.4 miles
reply	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for bus connection	line=M5, vehicle=bus, from_stop=Astor Place, departure_time=8:17am, direction=Houston Street
apologize	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for subway connection	*=notfound, vehicle=subway
request	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for bus connection	from_stop=?, to_stop=?
confirm-request	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for subway connection	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	looking for *VEHICLE connection	"inform(vehicle=""*VEHICLE"")"	looking for subway connection	vehicle=subway
reply	connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	connection from Columbus Circle to Cathedral Parkway	direction=Cathedral Parkway, vehicle=bus, departure_time=9:13am, from_stop=Columbus Circle, line=M98
apologize	connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	connection from Bowery to Dyckman Street	*=notfound, from_stop=Bowery, to_stop=Dyckman Street
confirm	connection from *STOP to *STOP	"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")"	connection from Bowling Green to Essex Street	from_stop=Bowling Green, to_stop=Essex Street
reply	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to Union Square	vehicle=bus, line=M14, departure_time=9:18am, from_stop=Chambers Street, direction=Union Square
apologize	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to City Hall	*=notfound, to_stop=City Hall
request	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to Bowling Green	from_stop=?
confirm-request	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to World Trade Center	confirm: to_stop=World Trade Center; request: from_stop=?
confirm	i'm headed to *STOP	"inform(to_stop=""*STREET"")"	i'm headed to World Trade Center	to_stop=World Trade Center
reply	about how long does it take	request(duration)	about how long does it take	duration=54 minutes
reply	and how many transfers is there	request(num_transfers)	and how many transfers is there	num_transfers=1
reply	and how many transfers	request(num_transfers)	and how many transfers	num_transfers=1
reply	and how many transfers would that be	request(num_transfers)	and how many transfers would that be	num_transfers=1
reply	ok how long will that take and when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&request(duration)&inform(alternative=""next"")"	ok how long will that take and when is the next connection	duration=53 minutes, departure_time=7:28am
confirm-reply	ok how long will that take and when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&request(duration)&inform(alternative=""next"")"	ok how long will that take and when is the next connection	confirm: alternative=next; reply: duration=53 minutes, departure_time=7:28am
confirm	ok how long will that take and when is the next connection	"request(departure_time=""*DEPARTURE_TIME"")&request(duration)&inform(alternative=""next"")"	ok how long will that take and when is the next connection	alternative=next
reply	and i want to know about the duration of the trip the distance of the trip and	request(duration)&request(distance)	and i want to know about the duration of the trip the distance of the trip and	distance=10.4 miles, duration=58 minutes
reply	and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&request(duration)"	and i would like to know the duration of the trip and find out the connections at eight thirty pm	duration=60 minutes
confirm-reply	and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&request(duration)"	and i would like to know the duration of the trip and find out the connections at seven thirty am	confirm: departure_time=7:30, ampm=am; reply: duration=60 minutes
confirm	and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM	"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&request(duration)"	and i would like to know the duration of the trip and find out the connections at seven thirty am	departure_time=7:30, ampm=am
reply	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by subway	from_stop=Dyckman Street, line=M, direction=Central Park, vehicle=subway, departure_time=11:03am
apologize	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by subway	*=notfound, vehicle=subway
request	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by bus	from_stop=?, to_stop=?
confirm-request	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by subway	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	but i wanna go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i wanna go by subway	vehicle=subway
reply	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by bus	from_stop=Wall Street, vehicle=bus, departure_time=12:09pm, direction=Herald Square, line=M106
apologize	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by bus	*=notfound, vehicle=bus
request	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by bus	from_stop=?, to_stop=?
confirm-request	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by subway	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	but i want to go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go by subway	vehicle=subway
reply	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by subway	line=7, from_stop=Delancey Street, vehicle=subway, departure_time=7:10am, direction=Cathedral Parkway
apologize	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by subway	*=notfound, vehicle=subway
request	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by subway	from_stop=?, to_stop=?
confirm-request	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by subway	confirm: vehicle=subway; request: from_stop=?, to_stop=?
confirm	but i want to go to by by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	but i want to go to by by subway	vehicle=subway
reply	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by bus	direction=Broad Street, vehicle=bus, line=M100, from_stop=Fulton Street, departure_time=7:17am
apologize	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by subway	*=notfound, vehicle=subway
request	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by bus	from_stop=?, to_stop=?
confirm-request	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by bus	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	can i go by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	can i go by bus	vehicle=bus
reply	could i get the duration	request(duration)	could i get the duration	duration=40 minutes
reply	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Penn Station	from_stop=Penn Station, departure_time=5:14pm, vehicle=bus, direction=Lincoln Center, line=M5
apologize	so i want to find a connection from *STOP	"inform(from_stop=""*STREET"")"	so i want to find a connection from Broad Street	*=notfound, from_stop=Broad Street
